strategy,player,tier,hits,n_draws,empirical_prob,theoretical_prob,game
Quick Pick,quick_pick,Match 6 (Jackpot),0,2000000,0.0,7.151123842018516e-08,649
Quick Pick,quick_pick,Match 5 + Bonus,1,2000000,5e-07,4.29067430521111e-07,649
Quick Pick,quick_pick,Match 5,38,2000000,1.9e-05,1.8020832081886662e-05,649
Quick Pick,quick_pick,Match 4,1981,2000000,0.0009905,0.000968619724401408,649
Quick Pick,quick_pick,Match 3,35747,2000000,0.0178735,0.017650403866870102,649
Quick Pick,quick_pick,Match 2 + Bonus,24782,2000000,0.012391,0.012314235255955885,649
Fixed Numbers,fixed_0,Match 6 (Jackpot),0,2000000,0.0,7.151123842018516e-08,649
Fixed Numbers,fixed_0,Match 5 + Bonus,4,2000000,2e-06,4.29067430521111e-07,649
Fixed Numbers,fixed_0,Match 5,33,2000000,1.65e-05,1.8020832081886662e-05,649
Fixed Numbers,fixed_0,Match 4,2053,2000000,0.0010265,0.000968619724401408,649
Fixed Numbers,fixed_0,Match 3,35427,2000000,0.0177135,0.017650403866870102,649
Fixed Numbers,fixed_0,Match 2 + Bonus,24564,2000000,0.012282,0.012314235255955885,649
Fixed Numbers,fixed_1,Match 6 (Jackpot),0,2000000,0.0,7.151123842018516e-08,649
Fixed Numbers,fixed_1,Match 5 + Bonus,0,2000000,0.0,4.29067430521111e-07,649
Fixed Numbers,fixed_1,Match 5,45,2000000,2.25e-05,1.8020832081886662e-05,649
Fixed Numbers,fixed_1,Match 4,1896,2000000,0.000948,0.000968619724401408,649
Fixed Numbers,fixed_1,Match 3,35223,2000000,0.0176115,0.017650403866870102,649
Fixed Numbers,fixed_1,Match 2 + Bonus,24825,2000000,0.0124125,0.012314235255955885,649
Fixed Numbers,fixed_2,Match 6 (Jackpot),0,2000000,0.0,7.151123842018516e-08,649
Fixed Numbers,fixed_2,Match 5 + Bonus,1,2000000,5e-07,4.29067430521111e-07,649
Fixed Numbers,fixed_2,Match 5,37,2000000,1.85e-05,1.8020832081886662e-05,649
Fixed Numbers,fixed_2,Match 4,1952,2000000,0.000976,0.000968619724401408,649
Fixed Numbers,fixed_2,Match 3,35305,2000000,0.0176525,0.017650403866870102,649
Fixed Numbers,fixed_2,Match 2 + Bonus,24822,2000000,0.012411,0.012314235255955885,649
Fixed Numbers,fixed_3,Match 6 (Jackpot),0,2000000,0.0,7.151123842018516e-08,649
Fixed Numbers,fixed_3,Match 5 + Bonus,1,2000000,5e-07,4.29067430521111e-07,649
Fixed Numbers,fixed_3,Match 5,38,2000000,1.9e-05,1.8020832081886662e-05,649
Fixed Numbers,fixed_3,Match 4,1869,2000000,0.0009345,0.000968619724401408,649
Fixed Numbers,fixed_3,Match 3,35021,2000000,0.0175105,0.017650403866870102,649
Fixed Numbers,fixed_3,Match 2 + Bonus,24659,2000000,0.0123295,0.012314235255955885,649
Fixed Numbers,fixed_4,Match 6 (Jackpot),0,2000000,0.0,7.151123842018516e-08,649
Fixed Numbers,fixed_4,Match 5 + Bonus,1,2000000,5e-07,4.29067430521111e-07,649
Fixed Numbers,fixed_4,Match 5,25,2000000,1.25e-05,1.8020832081886662e-05,649
Fixed Numbers,fixed_4,Match 4,1842,2000000,0.000921,0.000968619724401408,649
Fixed Numbers,fixed_4,Match 3,35007,2000000,0.0175035,0.017650403866870102,649
Fixed Numbers,fixed_4,Match 2 + Bonus,24808,2000000,0.012404,0.012314235255955885,649
Fixed Numbers,fixed_5,Match 6 (Jackpot),0,2000000,0.0,7.151123842018516e-08,649
Fixed Numbers,fixed_5,Match 5 + Bonus,1,2000000,5e-07,4.29067430521111e-07,649
Fixed Numbers,fixed_5,Match 5,31,2000000,1.55e-05,1.8020832081886662e-05,649
Fixed Numbers,fixed_5,Match 4,1878,2000000,0.000939,0.000968619724401408,649
Fixed Numbers,fixed_5,Match 3,35603,2000000,0.0178015,0.017650403866870102,649
Fixed Numbers,fixed_5,Match 2 + Bonus,24527,2000000,0.0122635,0.012314235255955885,649
Fixed Numbers,fixed_6,Match 6 (Jackpot),0,2000000,0.0,7.151123842018516e-08,649
Fixed Numbers,fixed_6,Match 5 + Bonus,2,2000000,1e-06,4.29067430521111e-07,649
Fixed Numbers,fixed_6,Match 5,36,2000000,1.8e-05,1.8020832081886662e-05,649
Fixed Numbers,fixed_6,Match 4,1883,2000000,0.0009415,0.000968619724401408,649
Fixed Numbers,fixed_6,Match 3,35635,2000000,0.0178175,0.017650403866870102,649
Fixed Numbers,fixed_6,Match 2 + Bonus,24480,2000000,0.01224,0.012314235255955885,649
Fixed Numbers,fixed_7,Match 6 (Jackpot),0,2000000,0.0,7.151123842018516e-08,649
Fixed Numbers,fixed_7,Match 5 + Bonus,1,2000000,5e-07,4.29067430521111e-07,649
Fixed Numbers,fixed_7,Match 5,24,2000000,1.2e-05,1.8020832081886662e-05,649
Fixed Numbers,fixed_7,Match 4,1941,2000000,0.0009705,0.000968619724401408,649
Fixed Numbers,fixed_7,Match 3,35072,2000000,0.017536,0.017650403866870102,649
Fixed Numbers,fixed_7,Match 2 + Bonus,24880,2000000,0.01244,0.012314235255955885,649
Fixed Numbers,fixed_8,Match 6 (Jackpot),0,2000000,0.0,7.151123842018516e-08,649
Fixed Numbers,fixed_8,Match 5 + Bonus,2,2000000,1e-06,4.29067430521111e-07,649
